Consumo final de energía. Por tipos
Cataluña
Unidades: Miles de tep.
Fuente: Institut Català d'Energia.
"Nota: (1) Incluidas la biomasa forestal, agrícola y ganadera, los residuos sólidos urbanos, los biocombustibles y el biogás."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15481&lang=es
,Carbón,Gases licuados del petróleo,Gasolina,Queroseno,Gasóleo,Fuel oil,Coque de petróleo,Gas natural,Gases refinería,Energía eléctrica,Residuos no renovables,Solar térmica,Biomasa (1),Total
2022,21.1,164.0,1047.8,264.6,4187.1,117.6,207.6,2813.5,0,3530.8,102.9,35.7,233.0,14271.5
2021,21.9,169.8,917.3,177.3,3995.3,94.0,212.1,2984.9,0,3502.5,106.4,34.4,213.1,13902.4
2020,16.1,154.3,745.3,132.3,3620.7,63.9,230.1,2830.2,0,3432.3,92.8,33.0,215.9,13105.0
2019,15.6,167.6,949.2,313.3,4288.7,118.1,264.2,3077.3,0,3670.1,92.6,31.7,218.0,14749.5
2018,19.4,172.8,873.9,283.3,4207.7,117.5,288.8,3117.6,0,3689.5,81.0,30.7,179.5,14610.1
2017,21.9,177.7,819.1,277.5,4110.8,97.1,284.8,2970.6,0,3737.0,103.6,29.7,162.6,14226.8
2016,20.5,169.7,809.8,265.8,4093.2,97.3,283.2,2844.9,0,3653.0,102.1,28.7,147.4,13892.4
2015,20.5,169.0,772.1,260.1,3971.8,90.3,266.3,2897.9,0,3635.3,91.9,27.9,148.0,13643.8
2014,20.2,166.0,767.0,230.1,3837.5,91.1,281.4,2864.6,0,3563.3,84.1,27.2,144.0,13245.8
2013,20.1,185.0,770.3,216.2,3798.6,115.6,194.5,3106.4,0,3607.5,77.2,26.4,114.1,13207.6
2012,19.8,195.1,802.3,269.9,3790.6,158.2,291.6,3152.7,0,3751.8,85.3,25.5,126.0,13933.6
2011,26.7,201.8,859.9,331.0,4148.2,197.5,331.4,3177.8,0,3838.4,83.1,23.6,124.4,14575.4
2010,26.1,238.1,924.9,325.3,4521.7,209.9,427.8,3281.2,0,3894.3,73.6,21.1,117.9,15276.6
2009,28.4,226.9,1004.4,343.6,4550.5,258.0,436.8,3160.0,0,3863.4,49.6,18.5,108.8,15184.1
2008,94.1,243.1,1070.7,357.6,4737.7,292.8,523.8,3346.8,0,4025.2,52.8,13.3,110.4,15795.1
2007,64.5,246.3,1151.5,376.5,5045.4,334.0,663.7,3391.7,0,4090.4,64.4,9.6,101.6,16611.1
2006,29.9,251.4,1208.9,321.6,4876.5,354.3,719.7,3420.9,0,4033.0,54.9,7.8,93.2,16318.2
2005,27.5,287.3,1279.2,303.6,4864.0,372.5,737.5,3605.2,0,3930.2,57.2,6.0,99.1,16587.4
2004,27.6,291.5,1371.2,273.8,4797.7,415.2,725.7,3553.8,0,3775.7,55.9,4.3,91.1,16370.4
2003,28.1,287.6,1421.2,250.8,4524.1,447.2,705.9,3462.6,0,3677.9,47.2,2.5,88.5,15857.6
2002,36.2,298.7,1485.4,242.1,4290.8,468.0,696.8,2967.9,0,3440.3,22.2,2.5,80.3,14805.8
2001,62.0,310.7,1550.2,259.5,4186.7,483.4,661.5,2881.1,0,3364.0,17.2,2.3,86.5,14578.4
2000,67.1,322.8,1598.1,249.9,3942.2,503.5,648.1,2706.8,0,3120.0,20.3,2.1,85.8,13946.8
1999,60.2,344.8,1661.0,247.1,3749.4,599.5,617.6,2586.9,0,2985.0,16.0,1.6,91.3,13682.2
1998,63.8,345.0,1692.1,236.7,3455.0,617.0,605.2,2348.4,0,2892.7,16.2,1.4,93.8,13100.2
1997,72.2,348.1,1709.1,227.1,3133.5,658.1,592.4,2163.7,0,2710.7,15.1,1.4,94.4,12426.5
1996,125.3,367.2,1724.2,196.4,3020.5,671.8,556.7,1990.8,5,2598.0,13.6,1.4,106.9,12081.4
1995,57.4,356.1,1777.4,160.9,2723.5,726.7,598.3,1788.5,8,2505.2,13.0,1.3,106.9,11525.6
1994,56.5,362.9,1732.4,149.6,2448.9,759.0,536.2,1647.6,9,2405.7,11.6,1.3,113.2,10922.9
1993,62.4,405.7,1702.4,136.3,2332.3,725.3,423.2,1587.6,18,2309.0,10.3,1.3,152.9,10537.4
1992,115.1,400.0,1682.5,150.5,2230.9,824.3,369.9,1619.1,17,2323.3,11.0,1.3,200.9,10508.1
1991,277.8,399.4,1681.0,142.7,2288.7,856.5,299.9,1558.5,21,2259.3,11.8,1.3,227.9,10548.8
1990,355.6,378.1,1582.8,140.3,2138.7,859.1,248.5,1392.3,45,2176.6,12.0,1.2,211.5,10100.7

