Población ocupada. Por sectores de actividad y sexo
Cataluña
Valor (media anual)
Unidades: Milers de persones.
"Fuente: Idescat, a partir de la Encuesta de población activa del INE."
Notas:
" En abril de 2024, el Idescat revisó los resultados de la Encuesta de población activa de los años 2021-2023 con la nueva base poblacional derivada del Censo de población y viviendas 2021."
" Entre el 14 de marzo y el 21 de junio de 2020 está vigente el Real Decreto 463/2020, de 14 de marzo, por el que se declara el estado de alarma para la gestión de la situación de crisis sanitaria ocasionada por el covid-19."
(b) Ruptura en la serie temporal.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15284&col=1&lang=es
,Total,Agricultura,Industria,Construcción,Servicios,Hombres,Agricultura,Industria,Construcción,Servicios,Mujeres,Agricultura,Industria,Construcción,Servicios
2023,3734.5,49.6,627.8,227.6,2829.5,1972.7,41.8,427.2,212.4,1291.4,1761.8,7.8,200.6,15.2,1538.2
2022,3593.5,56.6,617.2,230.1,2689.6,1908.3,47.3,423.7,213.8,1223.4,1685.3,9.3,193.5,16.3,1466.2
2021,3490.1,56.4,587.2,223.9,2622.6,1856.9,48.5,413.9,206.2,1188.2,1633.2,7.9,173.2,17.7,1434.4
2020,3335.8,46.5,587.5,199.7,2502.2,1761.7,39.5,396.6,179.8,1145.9,1574.0,7.0,190.9,19.9,1356.2
2019,3440.7,51.7,621.3,194.7,2573.0,1809.5,42.1,427.6,175.4,1164.4,1631.2,9.6,193.6,19.4,1408.6
2018,3362.2,58.0,626.6,212.5,2465.1,1781.9,46.8,446.1,184.1,1104.8,1580.3,11.2,180.5,28.4,1360.2
2017,3275.3,54.5,590.5,208.5,2421.8,1737.0,45.1,419.6,185.6,1086.7,1538.3,9.4,170.9,22.8,1335.1
2016,3183.9,50.8,583.6,184.2,2365.2,1692.0,40.6,417.1,166.7,1067.5,1491.9,10.2,166.4,17.5,1297.7
2015,3077.7,47.8,582.1,182.6,2265.2,1643.3,40.8,414.9,168.4,1019.1,1434.5,7.0,167.2,14.2,1246.1
2014,3030.9,45.1,558.4,181.2,2246.2,1594.3,39.1,394.9,166.1,994.2,1436.6,6.0,163.4,15.2,1252.0
2013,2969.6,52.4,547.2,184.0,2185.9,1570.1,43.5,398.2,168.5,960.0,1399.4,9.0,149.0,15.5,1225.9
2012,3031.6,55.5,563.8,197.5,2214.9,1614.8,41.4,410.2,179.1,984.2,1416.8,14.1,153.6,18.4,1230.8
2011,3206.8,59.1,590.3,246.4,2310.9,1726.6,43.5,424.0,224.4,1034.7,1480.2,15.6,166.3,21.9,1276.3
2010,3249.1,67.7,621.9,286.7,2272.9,1767.2,53.1,434.6,258.8,1020.7,1481.9,14.6,187.3,27.9,1252.1
2009,3290.3,59.1,643.0,336.8,2251.5,1804.9,46.2,438.6,304.6,1015.5,1485.4,12.8,204.4,32.2,1236.0
2008,3581.3,62.2 (b),767.4 (b),406.3 (b),2345.5 (b),2013.2,47.7 (b),552.0 (b),374.4 (b),1039.1 (b),1568.1,14.4 (b),215.4 (b),31.9 (b),1306.5 (b)
2007,3576.6,78.3,774.7,441.9,2281.7,2049.4,62.8,559.4,413.1,1014.2,1527.2,15.5,215.3,28.8,1267.5
2006,3486.9,91.8,804.5,416.2,2174.4,2013.7,74.3,579.8,387.4,972.2,1473.3,17.6,224.7,28.8,1202.2
2005,3371.5,82.9,798.8,355.7,2134.1,1958.0,67.8,571.2,333.5,985.5,1413.5,15.0,227.6,22.2,1148.7
2004,3171.0,75.0,761.8,356.8,1977.4,1852.5,60.7,544.1,332.9,914.8,1318.5,14.3,217.7,23.9,1062.6
2003,3059.6,79.3,796.0,333.6,1850.8,1814.9,62.8,576.4,308.8,866.9,1244.6,16.5,219.5,24.7,983.9
2002,2904.5,72.6,824.3,299.0,1708.6,1741.9,56.8,588.5,279.8,816.9,1162.6,15.8,235.8,19.2,891.7
2001,2825.8,73.0,812.6,294.8,1645.4,1700.6,56.9,576.2,280.3,787.2,1125.3,16.1,236.4,14.5,858.2
Población ocupada. Por sectores de actividad y sexo
España
Valor (media anual)
Unidades: Milers de persones.
Fuente: INE. Encuesta de población activa.
Notas:
