Índex de preus de consum. Per grups especials (inflació subjacent)
Catalunya
Índex
Unitats: Base 2021 = 100.
Font: INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=basics&n=16665&col=1
,Índex general sense aliments no elaborats ni productes energètics (inflació subjacent),Índex general sense productes energètics,"Aliments elaborats, begudes i tabac",Aliments no elaborats,Béns industrials,Productes energètics,Béns industrials sense productes energètics,Serveis,Serveis sense lloguer d’habitatge
12/2024,115.617,116.363,127.298,123.705,112.019,108.238,112.971,111.853,112.614
11/2024,115.186,115.908,127.665,122.915,111.831,107.568,113.041,111.003,111.677
10/2024,115.112,115.829,127.483,122.769,110.193,105.277,111.766,111.424,112.153
09/2024,114.846,115.407,126.810,120.129,108.772,104.107,110.225,111.771,112.548
08/2024,115.459,115.971,127.027,119.989,109.883,107.479,110.124,112.767,113.659
07/2024,115.175,115.814,126.889,121.645,110.245,108.249,110.265,112.280,113.126
06/2024,115.359,115.999,126.843,121.843,112.475,110.649,112.384,111.783,112.588
05/2024,114.636,115.304,126.832,121.559,112.643,111.048,112.427,110.566,111.251
04/2024,114.121,114.810,126.903,121.385,112.226,111.482,111.562,110.021,110.673
03/2024,113.560,114.230,126.238,120.550,110.903,109.674,110.510,109.686,110.327
02/2024,112.724,113.433,126.043,120.331,109.186,106.735,109.458,108.756,109.314
01/2024,112.101,112.955,125.119,121.940,109.402,106.840,109.731,107.883,108.361
12/2023,112.579,113.353,124.204,121.176,109.282,102.441,111.887,108.116,108.636
11/2023,112.165,113.009,124.342,121.738,109.869,104.160,111.907,107.365,107.812
10/2023,112.155,112.971,123.994,121.342,110.448,108.721,110.501,108.008,108.540
09/2023,111.865,112.540,123.621,119.113,110.362,111.260,109.110,108.181,108.746
08/2023,112.221,112.799,123.005,118.130,109.536,109.128,108.940,109.039,109.713
07/2023,111.924,112.553,122.717,118.533,108.378,105.897,108.821,108.672,109.316
06/2023,111.713,112.279,122.206,117.468,109.305,104.780,110.758,107.710,108.262
05/2023,111.158,111.763,122.050,117.452,108.778,103.229,110.744,106.826,107.295
04/2023,110.790,111.403,121.638,117.192,109.209,106.239,109.889,106.668,107.157
03/2023,109.863,110.555,120.867,117.381,109.186,108.830,108.567,105.856,106.264
02/2023,108.981,109.606,119.932,115.593,109.954,112.519,107.876,104.925,105.247
01/2023,108.137,108.616,118.102,112.746,109.131,110.203,107.802,104.091,104.343
12/2022,108.245,108.733,117.067,112.987,110.269,109.782,109.707,103.843,104.086
11/2022,107.407,107.936,114.912,112.551,112.059,115.913,109.364,103.279,103.469
10/2022,106.518,107.344,113.252,114.602,112.316,121.426,107.053,103.453,103.676
09/2022,105.746,106.257,112.003,110.707,113.590,129.668,104.916,103.595,103.854
08/2022,105.875,106.246,111.765,109.450,115.913,138.312,104.136,104.353,104.731
07/2022,105.364,105.830,110.571,109.889,116.086,139.179,103.969,103.936,104.267
06/2022,105.514,106.027,109.545,110.504,117.580,138.539,106.495,103.309,103.584
05/2022,104.730,105.066,108.587,107.958,113.693,127.864,105.949,102.471,102.649
04/2022,104.034,104.450,107.098,108.060,112.178,125.800,104.713,102.382,102.571
03/2022,102.456,102.737,104.978,105.145,116.425,143.501,102.362,101.432,101.511
02/2022,101.732,101.941,104.229,103.710,108.439,122.306,100.882,101.117,101.181
01/2022,101.122,101.403,103.011,103.812,107.020,118.763,100.511,100.628,100.647
12/2021,101.620,101.843,102.064,103.734,108.219,116.886,103.202,100.554,100.584
